,Time,Bath Bedroom Door contact,Bathroom Motion motion,Living Room Motion motion,Main door temperature,Living Bedroom Door temperature,Bath Bedroom Door temperature,Living Bedroom Door contact,Main door contact,Kitchen Motion motion,bedroom,kitchen,bathroom
5,390,0,0,1,61,69,67,0,0,0,0,0,0
5,395,0,0,0,61,69,67,0,0,0,0,0,0
5,400,0,0,1,62,69,67,0,0,0,0,0,0
5,405,0,1,1,60,69,67,0,0,1,0,0,0
5,410,0,1,1,60,69,66,0,0,0,0,0,1
5,415,1,1,1,60,69,66,0,0,0,0,1,1
5,420,1,0,0,60,69,66,0,0,1,0,1,1
5,425,1,0,1,60,69,67,0,0,1,0,1,1
5,430,1,0,0,60,70,67,0,0,0,0,1,1
5,435,1,1,1,60,69,67,1,0,0,1,0,1
5,440,1,0,0,61,69,67,0,0,1,0,0,1
5,445,1,0,0,61,69,68,0,0,1,0,0,1
5,450,1,0,0,61,69,67,0,0,0,0,0,0
5,455,1,0,0,61,69,67,0,0,0,0,0,0
5,460,1,0,1,61,69,67,0,0,0,0,0,0
5,465,1,0,1,61,69,67,0,0,0,0,0,0
5,470,1,0,1,61,69,67,0,0,0,0,0,0
5,475,1,0,1,61,69,67,0,0,0,0,0,0
5,480,1,0,0,61,69,67,0,0,0,0,0,0
5,485,1,0,0,61,69,67,0,0,0,0,0,0
5,490,1,0,0,61,69,67,0,0,0,0,0,0
5,495,1,0,0,61,69,67,0,0,0,0,0,0
5,500,1,0,0,62,69,67,0,0,0,0,0,0
5,505,1,0,1,62,69,68,0,0,0,1,0,0
5,510,1,0,1,62,69,67,0,0,0,1,0,0
5,515,1,0,1,62,69,67,0,0,0,1,0,0
5,520,0,1,1,62,69,67,1,0,0,1,0,1
5,525,0,1,0,63,69,67,0,0,0,1,0,1
5,530,0,1,1,63,69,67,1,0,0,1,0,1
5,535,0,1,0,63,70,67,1,0,0,1,0,1
5,540,1,1,1,63,70,68,1,0,0,1,0,1
5,545,1,1,1,63,70,68,0,0,0,1,0,1
5,550,1,0,1,64,70,68,0,0,0,1,0,1
5,555,1,1,1,64,70,68,1,1,0,1,0,1
5,560,1,0,0,64,70,68,0,0,0,0,0,1
5,565,1,0,0,64,70,68,0,0,0,0,0,1
5,570,0,1,0,64,70,68,0,0,0,0,0,1
5,575,1,1,0,64,70,68,0,0,0,0,0,1
5,580,1,0,0,65,70,70,0,0,0,0,0,0
5,585,1,0,0,65,70,69,0,0,0,0,0,1
5,590,1,0,0,65,70,69,0,0,0,0,0,0
5,595,1,0,0,65,71,69,0,0,0,0,0,0
5,600,1,0,0,65,71,69,0,0,0,0,0,0
5,605,1,0,0,65,71,69,0,0,0,0,0,0
5,610,1,0,0,65,71,69,0,0,0,0,0,0
